Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude
2/10/2021 12:30,2/10/2021 12:45,884.0,6.6,38.0,8.0,18.75,0.0,0.0,0.0,19.25,Credit Card,Flash Cab,41.81294894,-87.61785968,41.89960211,-87.63330804
4/14/2021 11:30,4/14/2021 11:45,1175.0,4.36,28.0,34.0,15.25,0.0,0.0,0.0,15.25,Cash,Flash Cab,41.87400538,-87.66351755,41.84207612,-87.63397342
3/30/2021 9:45,3/30/2021 10:00,488.0,2.09,28.0,29.0,8.75,0.46,0.0,0.0,9.21,Prcard,Flash Cab,41.87400538,-87.66351755,41.86019002,-87.7172201
3/7/2021 13:45,3/7/2021 14:00,1140.0,5.7,,,17.25,0.0,0.0,4.0,21.25,Cash,U Taxicab,,,,
5/13/2021 19:15,5/13/2021 20:00,2160.0,0.8,56.0,22.0,35.5,8.2,0.0,5.0,48.7,Credit Card,Taxi Affiliation Services,41.79259236,-87.76961545,41.92276062,-87.69915534
1/16/2021 14:00,1/16/2021 14:15,1020.0,14.6,53.0,73.0,36.5,0.0,0.0,0.0,36.5,Unknown,Blue Ribbon Taxi Association Inc.,41.6738199,-87.63573978,41.71749304,-87.64889507
1/9/2021 14:15,1/9/2021 14:15,45.0,0.03,15.0,15.0,3.25,0.0,0.0,0.0,3.25,Cash,Flash Cab,41.95402765,-87.76339903,41.95402765,-87.76339903
2/3/2021 17:00,2/3/2021 17:00,480.0,1.5,8.0,28.0,7.75,0.0,0.0,0.0,7.75,Cash,"Taxicab Insurance Agency, LLC",41.89960211,-87.63330804,41.87400538,-87.66351755
4/26/2021 9:45,4/26/2021 10:15,1244.0,12.4,28.0,10.0,32.75,0.0,0.0,0.0,32.75,Prcard,Globe Taxi,41.87400538,-87.66351755,41.9850151,-87.80453201
5/10/2021 11:15,5/10/2021 11:30,1017.0,2.41,8.0,28.0,11.5,0.0,0.0,0.0,11.5,Cash,Globe Taxi,41.89960211,-87.63330804,41.87400538,-87.66351755
5/15/2021 11:45,5/15/2021 12:00,420.0,2.1,33.0,32.0,8.5,0.0,0.0,1.0,9.5,Cash,Taxi Affiliation Services,41.85934972,-87.61735801,41.88498719,-87.62099291
5/25/2021 12:00,5/25/2021 12:00,480.0,1.5,28.0,8.0,7.5,0.0,0.0,1.0,8.5,Cash,Top Cab Affiliation,41.87925508,-87.642649,41.89250778,-87.62621491
5/30/2021 10:00,5/30/2021 10:00,621.0,1.7,8.0,,8.25,4.0,0.0,2.0,14.75,Credit Card,Flash Cab,41.89960211,-87.63330804,,
1/24/2021 12:00,1/24/2021 12:15,657.0,2.07,8.0,28.0,9.5,0.0,0.0,1.0,10.5,Cash,Globe Taxi,41.89960211,-87.63330804,41.87400538,-87.66351755
1/23/2021 9:00,1/23/2021 9:15,300.0,1.5,19.0,19.0,6.5,0.0,0.0,0.0,6.5,Cash,Taxi Affiliation Services,41.92726096,-87.76550161,41.92726096,-87.76550161
5/30/2021 12:30,5/30/2021 13:00,1503.0,5.23,8.0,6.0,18.5,0.0,0.0,0.0,18.5,Prcard,Flash Cab,41.89960211,-87.63330804,41.9442266,-87.65599818
